"priority","score","opportunity","relationship","status","next_action","owner","target_date","three_ws_asset","partner_value","success_evidence","official_source","last_verified"
"P1","18","ElevenLabs Startup Grants and Demo Day","new-target","eligibility_check","Confirm employee-count and account eligibility then apply with the embodied-voice demo","Owner","2026-09-24","api/_lib/elevenlabs.js","A monetized production voice experience where audio drives a visible 3D body","Grant acceptance and Demo Day consideration","https://elevenlabs.io/startup-grants","2026-09-15"
"P1","17","NVIDIA Inception Startup Showcase","existing-member","reply_received_routing_unanswered","Complete the portal record then ask only whether Showcase consideration is profile-driven or has a separate nomination step","Owner","2026-09-18","docs/nvidia-apps-catalog-request.md","A measured startup implementation built on NVIDIA technology","Published NVIDIA spotlight URL","https://www.nvidia.com/en-us/startups/","2026-09-15"
"P1","17","Hugging Face Space feature and GPU grant","existing-channel","live_needs_upgrade","Turn the existing viewer into a focused prompt-to-rig proof and apply from Space settings if GPU is needed (checked 2026-09-16: org live with one running Space, one model, two articles, latest 2026-08-29)","Growth+Engineering","2026-10-02","docs/huggingface-agent-feedback-loop.md","An inspectable model rig demo and open implementation","Grant decision or featured Space URL","https://huggingface.co/docs/hub/spaces-overview","2026-09-16"
"P1","16","OpenAI Partner Locator profile","existing-partner","public_presence_unverified","Check the authenticated partner record and request public discoverability if absent (2026-09-16: public check not possible, the locator's partner feed openai.com/backend/partner-locator returns 403 to automated clients and the page renders 0 partners)","Owner","2026-09-19","marketing/openai-select-partner/README.md","A complete and accurate Select Partner profile","Live partner locator URL","https://openai.com/business/partners/locator/","2026-09-16"
"P1","16","Solana ecosystem directory","existing-ecosystem","closed_directory_retired","None: checked 2026-09-16, solana.com/ecosystem is a hub page with no project directory or listing form and the solana-labs/ecosystem data repo is archived (last push 2024-03-29); pursue Solana visibility through the Foundation grant row","Owner","2026-10-02","marketing/seeker-launch/README.md","A mature open-source Solana-native agent platform","Live ecosystem profile URL","https://solana.com/ecosystem","2026-09-16"
"P1","16","IBM My Digital Marketing and co-marketing funds","existing-partner","entitlement_unused","Request access and the Build-track marketing kit in the existing relationship note","Owner","2026-09-18","marketing/ibm-partner-plus/README.md","A ready campaign and recurring user-group event series","Portal access and approved campaign or fund ID","https://www.ibm.com/partnerplus/marketing","2026-09-15"
"P2","16","Solana Foundation public-good grant","existing-ecosystem","scope_needed","Define one narrow open-source identity payment or 3D public good with milestones and budget","Owner+Engineering","2026-10-16","docs/open-source-footprint.md","Reusable public infrastructure and documented learning for the ecosystem","Application ID then grant decision","https://solana.org/grants-funding","2026-09-15"
"P2","15","GitHub Stars nomination","new-recognition-path","evidence_building","Complete Open Source Friday and two contributor workshops then assemble an education-first nomination","Community","2026-11-30","docs/first-contribution.md","Sustained open-source education and community growth","Nomination confirmation","https://stars.github.com/","2026-09-15"
"P2","15","OpenAI share-your-story","existing-partner","not_started","Submit a founder story after Showcase submission with measurable product outcomes","Owner","2026-10-09","marketing/openai-select-partner/partnership-and-gpt-briefing.md","A human story about making 3D creation accessible through OpenAI products","Submission confirmation or editorial contact","https://openai.com/form/share-your-story/","2026-09-15"
"P2","15","NVIDIA GTC 2027 startup route","existing-member","pavilion_invite_only_cfp_watching","Keep the member profile and NVIDIA demo current for invite-only Pavilion review; monitor the separate public CFP weekly","Owner","2026-10-01","docs/nvidia-visibility-map.md","A browser digital-human demo for agentic AI and media audiences","Submission ID or pavilion acceptance","https://www.nvidia.com/gtc/","2026-09-15"
"P2","14","QuickNode startup spotlight","existing-program","not_started","Send a one-page RPC failover field note and request a founder spotlight","Owner","2026-10-09","docs/solana.md","A practical reliability story with a production QuickNode integration","Published QuickNode-domain story or social post","https://www.quicknode.com/startup-program","2026-09-15"
"P0","18","VS Code Marketplace: three.ws 3D","installable-distribution","ready_to_publish","Publisher threews already exists and is verified; packaged vsix (15 files, 694 KB) passes 71 tests and installs into VS Code 1.138. Owner: create a Marketplace Manage PAT, vsce login threews, npm run publish:marketplace, then OVSX_PAT=<token> npm run publish:openvsx (packages/vscode-3d/PUBLISHING.md)","Owner","2026-09-25","packages/vscode-3d","A complete 3D workflow inside a Microsoft-owned developer surface","Live Marketplace URL and activated install","https://code.visualstudio.com/api/working-with-extensions/publishing-extension","2026-09-17"
"P1","17","Comfy Registry and Manager","installable-distribution","submission_ready","Owner: create Registry publisher `threews` and API key, then run `comfy node publish` from integrations/comfyui/three_ws_nodes (steps in integrations/comfyui/SUBMITTING.md)","Owner","2026-10-02","integrations/comfyui","Working Forge nodes available through the native manager","Live Registry URL and first completed generation","https://docs.comfy.org/registry/publishing","2026-09-17"
"P1","16","Blender Extensions","installable-distribution","submission_ready","Owner: sign in with Blender ID, build with `blender --command extension build` in integrations/blender/three_ws, upload at extensions.blender.org/submit, add screenshots, answer review (steps in integrations/blender/SUBMITTING.md)","Owner","2026-10-09","integrations/blender","A working Forge add-on on Blender's own discovery surface","Live Extension URL and first completed generation","https://developer.blender.org/docs/handbook/extensions/addon_guidelines/","2026-09-17"
"P0","20","three.ws agent starter template and Codespaces","owned-product-loop","live_template_unverified","Live at https://github.com/nirholas/threews-agent-starter as a template; open a fresh Codespace and confirm port 4173 renders the live agent before linking it from campaigns","Owner","2026-09-21","satellites/agent-starter","A first avatar rendered before a newcomer must clone or understand the monorepo","Live template URL plus template uses Codespaces starts and successful first renders","https://docs.github.com/en/codespaces/developing-in-a-codespace/creating-a-codespace-from-a-template","2026-09-16"
"P0","19","three.ws GLB Quality Gate GitHub Action","owned-install-surface","published_untagged","Repo is live at https://github.com/nirholas/glb-quality-gate with source identical to the monorepo but no tags; create v1.0.0 and v1, cut a release, then complete the Marketplace form so the documented @v1 install resolves","Owner","2026-09-23","satellites/glb-quality-gate","A useful structural and visual model review inside every adopter pull request","Marketplace URL plus unique installing repositories weekly runs and referral sessions","https://docs.github.com/en/actions/how-tos/create-and-publish-actions/publish-in-github-marketplace","2026-09-16"
"P0","19","Awesome MCP Servers listing","new-directory","submission_ready","Dispatch the verified listing in marketing/growth/submissions/awesome-mcp-servers.md (checked 2026-09-16: absent from README, no PR or issue mentioning three.ws)","Owner","2026-09-25","marketing/growth/submissions/awesome-mcp-servers.md","A verifiable public MCP server with concise install and tool documentation","Accepted external PR URL plus referred sessions and installs","https://github.com/punkpeye/awesome-mcp-servers/blob/main/CONTRIBUTING.md","2026-09-16"
"P0","18","GitHub Show and tell monthly feature","owned-community","form_built","Merge the category form then feature the first qualifying community build","Community","2026-09-30",".github/DISCUSSION_TEMPLATE/show-and-tell.yml","Recognition README exposure and a direct maintainer feedback loop","Qualified submissions featured project clicks and contributor conversion","https://github.com/nirholas/three.ws/discussions/categories/show-and-tell","2026-09-15"
"P1","17","Verified adopter case study","organic-adopter","research_complete","Offer Bowyer an upstream improvement then request a short implementation interview","Owner","2026-09-28","GitHub code-search adoption audit","A maintainer-approved implementation story and useful upstream contribution","Merged contribution interview permission and published case-study URL","https://github.com/BowyerApp/bowyer","2026-09-15"
"P1","16","Awesome Three.js listing","new-directory","submission_ready","Dispatch the verified listing in marketing/growth/submissions/awesome-threejs.md (checked 2026-09-16: absent from README, no PR or issue mentioning three.ws)","Owner","2026-10-02","marketing/growth/submissions/awesome-threejs.md","A focused open-source tool for the existing Three.js builder audience","Accepted external PR URL plus referred sessions and package installs","https://github.com/AxiomeCG/awesome-threejs","2026-09-16"
"P1","16","GitHub Community Exchange starter listing","education-channel","eligibility_check","Add LEARN.md and collaborator issues to the starter then submit if owner is Education-eligible","Community","2026-10-09","planned starter repository","A complete visual Learn and Collaborate project for students","Accepted listing URL student forks and first-time contributors","https://docs.github.com/en/education/contribute-with-github-community-exchange/submitting-your-repository-to-github-community-exchange","2026-09-15"
"P2","15","DigitalOcean Startups distribution route","new-program","eligibility_check","Confirm eligibility and product fit then apply with a marketplace and customer-story plan","Owner","2026-10-16","marketplace-ready developer tool","A useful AI developer product and reproducible startup implementation","Acceptance marketplace placement or provider-owned co-marketing URL","https://www.digitalocean.com/startups","2026-09-15"
"P2","14","MongoDB for Startups GTM route","new-program","architecture_and_eligibility_check","Verify production usage and current stage requirements before applying","Owner","2026-10-16","production data architecture","A genuine production implementation with a visual AI customer outcome","Acceptance assigned support and provider-owned GTM placement","https://www.mongodb.com/solutions/startups","2026-09-15"
"P2","13","three.ws Creator Grant and CloudCredits listing","owned-acquisition-offer","owner_decision_required","Define a funded generation benefit eligibility support capacity and public terms or record no-go","Owner","2026-10-02","free generation and rigging lanes","A real transparent startup or creator benefit that open registries can verify","Published terms followed by accepted directory listing and activated grantees","https://cloudcredits.io/","2026-09-15"
"P1","17","Awesome Web Components listing","new-directory","submission_ready","Dispatch the verified <agent-3d> entry in marketing/growth/submissions/awesome-web-components.md (checked 2026-09-17: absent from README, no PR or issue mentioning three.ws)","Owner","2026-09-25","marketing/growth/submissions/awesome-web-components.md","A drop-in animated 3D avatar element next to model-viewer for web component builders","Accepted external PR URL and referral visits to /docs/web-component","https://github.com/web-padawan/awesome-web-components","2026-09-17"
"P2","14","Awesome WebXR listing","new-directory","submission_ready","Test the 3D AR Studio demo on one Android phone and one iPhone then dispatch marketing/growth/submissions/awesome-webxr.md (checked 2026-09-17: absent from README)","Owner","2026-10-02","marketing/growth/submissions/awesome-webxr.md","A multi-model WebXR library for the WebXR builder audience","Accepted external PR URL and 3d-ar-studio installs","https://github.com/msub2/awesome-webxr","2026-09-17"
"P1","17","Khronos glTF Project Explorer listing","new-directory","submission_ready","Submit the prepared form answers in marketing/growth/submissions/khronos-gltf-project-explorer.md at ecosystem.khronos.org/submit (checked 2026-09-17: absent from the explorer dataset; form sits behind a browser challenge)","Owner","2026-09-25","marketing/growth/submissions/khronos-gltf-project-explorer.md","A structural glTF diff tool on the official Khronos ecosystem registry","Live explorer entry for glb-diff","https://ecosystem.khronos.org/submit/","2026-09-17"
"P1","17","Awesome Remote MCP Servers (punkpeye) listing","new-directory","submission_ready","Star the repo then dispatch the 3D Studio free endpoint entry in marketing/growth/submissions/awesome-remote-mcp-servers-punkpeye.md (checked 2026-09-17: absent from README; endpoint answers initialize; Glama badge live)","Owner","2026-09-25","marketing/growth/submissions/awesome-remote-mcp-servers-punkpeye.md","An open no-auth text-to-3D server in the Art and Design category","Accepted external PR URL and new mcp-studio sessions","https://github.com/punkpeye/awesome-remote-mcp-servers","2026-09-17"
"P2","15","Awesome Remote MCP Servers (jaw9c) listing","new-directory","submission_ready","Dispatch the OAuth three.ws server row in marketing/growth/submissions/awesome-remote-mcp-servers-jaw9c.md (checked 2026-09-17: absent from README; 401 with OAuth metadata verified)","Owner","2026-10-02","marketing/growth/submissions/awesome-remote-mcp-servers-jaw9c.md","An official OAuth-protected 3D avatar and glTF server for a curated remote list","Accepted external PR URL","https://github.com/jaw9c/awesome-remote-mcp-servers","2026-09-17"
"P1","16","mcpservers.org listing","new-directory","submission_ready","Confirm no existing listing via site search then submit the free form with the answers in marketing/growth/submissions/mcpservers-org.md (checked 2026-09-17: absent from wong2 README)","Owner","2026-09-25","marketing/growth/submissions/mcpservers-org.md","A keyless sentence-to-3D-world MCP server in the Design category","Live mcpservers.org listing URL and scene-mcp installs","https://mcpservers.org/submit","2026-09-17"
"P2","15","Awesome Blender listing","new-directory","submission_ready","Run blender_info once on a machine with Blender then dispatch marketing/growth/submissions/awesome-blender.md (checked 2026-09-17: absent from README; no MCP entry in the list)","Owner","2026-10-02","marketing/growth/submissions/awesome-blender.md","The first AI assistant bridge for Blender on the largest Blender resource list","Accepted external PR URL and blender-mcp installs","https://github.com/agmmnn/awesome-blender","2026-09-17"
"P1","17","E2B Awesome AI Agents listing","new-directory","submission_ready","Submit the Google Form with the answers in marketing/growth/submissions/e2b-awesome-ai-agents.md (checked 2026-09-17: absent from README)","Owner","2026-09-25","marketing/growth/submissions/e2b-awesome-ai-agents.md","A free 3D generation tool for agents in a 30k-star agent directory","Live directory entry and new mcp-studio sessions","https://github.com/e2b-dev/awesome-ai-agents","2026-09-17"
"P1","16","Awesome Text-to-3D listing","new-directory","submission_ready","Dispatch the Forge entry in marketing/growth/submissions/awesome-text-to-3d.md (checked 2026-09-17: absent from README; external product PR merged 2026-09-09)","Owner","2026-09-25","marketing/growth/submissions/awesome-text-to-3d.md","A free working text-to-3D product for the research and builder audience","Accepted external PR URL and referral visits to /forge","https://github.com/yyeboah/Awesome-Text-to-3D","2026-09-17"
"P2","14","Awesome Generative AI Discoveries listing","new-directory","submission_ready","Try /ar on a phone then dispatch the AR Forge entry to DISCOVERIES.md per marketing/growth/submissions/awesome-generative-ai.md (checked 2026-09-17: absent from README and DISCOVERIES)","Owner","2026-10-02","marketing/growth/submissions/awesome-generative-ai.md","A prompt-to-object-in-your-room demo for a 12k-star generative AI list","Accepted external PR URL and referral visits to /ar","https://github.com/steven2358/awesome-generative-ai","2026-09-17"
"P1","17","PostHog for Startups and startup spotlight","existing-vendor_new-program","not_started","Apply at app.posthog.com/startups from the production PostHog org and confirm the age and funding rules on the form (official page checked 2026-09-18 states none; the CloudCredits entry quotes under 2 years and under 5M raised)","Owner","2026-09-25","src/analytics.js","50000 USD in credits for 12 months plus a PostHog startup spotlight for a production analytics customer","Acceptance email then a live spotlight URL","https://posthog.com/startups","2026-09-18"
"P2","15","OpenAI Codex for Open Source","existing-partner_new-program","not_started","Submit the maintainer application at openai.com/form/codex-for-oss/ with the public repo (194 stars 44 forks on 2026-09-18) and the npm packages in monthly use","Owner","2026-10-02","README.md","Six months of ChatGPT Pro with Codex plus up to 25000 USD in Codex Open Source Fund API credits inside the existing OpenAI relationship","Acceptance email","https://developers.openai.com/community/codex-for-oss","2026-09-18"
"P2","15","Microsoft for Startups as the Azure Marketplace route","new-program","sequenced_after_aws","Hold until the AWS Marketplace listing is live then apply through the Microsoft for Startups portal as the entry to Azure Marketplace","Owner","2026-11-02","docs/aws-marketplace.md","Up to 150000 USD in Azure credits and access to the Microsoft customer network for the third procurement leg","Program acceptance then an Azure Marketplace offer ID","https://www.microsoft.com/en-us/startups","2026-09-18"
"P2","13","Deepgram Startup Program","new-target","owner_decision_required","Decide whether to add Deepgram as a second ASR rung behind NVIDIA Riva on /api/asr; if yes ship the rung and apply together, if no record the no-go","Owner","2026-10-09","api/asr.js","Up to 100000 USD in speech credits for 12 months plus a powered-by-Deepgram customer story","Recorded decision then acceptance email","https://deepgram.com/startup-program","2026-09-18"
"P2","12","Cerebras startup deal","existing-vendor_new-program","intake_unverified","Email info@cerebras.ai to ask whether the non-YC startup deal still exists (cerebras.ai/startup-deal returned 404 on 2026-09-18; only the YC variant is live)","Owner","2026-10-02","api/_lib/llm.js","Up to 22500 USD in inference credits with priority support and co-marketing for a live free-tier rung","Reply naming a live intake then an acceptance","https://www.cerebras.ai/yc-startup-deal","2026-09-18"
"P1","17","Goose extensions directory","new-directory","not_started","PR an npx @three-ws/mcp-server entry into documentation/static/servers.json (precedent: Glif added in PR 10638 on 2026-07-29)","Owner","2026-09-25","mcp-server","A free 3D generation MCP for a 54k-star agent's extension directory","Merged PR URL and Goose installs","https://github.com/aaif-goose/goose","2026-09-18"
"P1","17","manifold-3d users table","upstream-dependency","not_started","PR three.ws Materialize into the manifold README users table, which invites user PRs (precedent: PR 1768 merged 2026-07-02)","Owner","2026-09-25","api/_lib/print/manifold-kernel.js","A production WASM user listed beside Blender Godot and Babylon.js","Merged PR URL","https://github.com/elalish/manifold","2026-09-18"
"P1","16","TensorBlock awesome-mcp-servers listing","new-directory","not_started","PR @three-ws/mcp-server into the 3D or creative category (precedent: PR 2463 merged 2026-09-17)","Owner","2026-09-25","mcp-server","A free 3D MCP server on an 856-star list that merges daily","Merged PR URL","https://github.com/TensorBlock/awesome-mcp-servers","2026-09-18"
"P1","16","Docker MCP Catalog remote entry","new-directory","not_started","PR a remote-server server.yaml for https://three.ws/api/mcp-studio (no auth; initialize returns 200)","Owner","2026-10-02","api/mcp-studio.js","A no-auth 3D MCP inside Docker Desktop MCP Toolkit","Merged PR URL and catalog page","https://github.com/docker/mcp-registry","2026-09-18"
"P1","16","awesome-ai-companion embodiment listing","new-directory","not_started","PR agent-3d into Visual Presence and VTuber-Style Companions (precedent: PR 19 merged 2026-09-13)","Owner","2026-09-25","src/element.js","An embeddable 3D body for AI companions in the exact matching section","Merged PR URL","https://github.com/DasterProkio/awesome-ai-companion","2026-09-18"
"P1","16","Vercel AI SDK tools registry","integration-registry","build_required","Ship an AI SDK tool() export for the no-key Forge lane then PR the registry entry per contributing/add-new-tool-to-registry.md","Owner + eng","2026-10-09","packages","A no-key text-to-3D tool listed on ai-sdk.dev","Published package and merged registry PR","https://github.com/vercel/ai","2026-09-18"
"P2","15","kyrolabs awesome-agents listing","new-directory","not_started","PR agent-3d into Frameworks or Tools (precedent: PR 766 merged 2026-09-13)","Owner","2026-09-25","src/element.js","An agent-builder audience on a 2.8k-star list","Merged PR URL","https://github.com/kyrolabs/awesome-agents","2026-09-18"
"P2","15","ricky0123 vad cool-projects entry","upstream-dependency","not_started","PR three.ws voice avatars into the Cool projects using this library section (one existing entry)","Owner","2026-09-25","src/voice/vad.js","A second showcase entry on a 2k-star dependency","Merged PR URL","https://github.com/ricky0123/vad","2026-09-18"
"P2","15","Zed MCP context-server extension","integration-registry","build_required","Build a thin Zed extension wrapping npx @three-ws/mcp-server then PR it (precedent: PR 6945 merged 2026-07-27)","Owner + eng","2026-10-16","mcp-server","3D generation inside the Zed editor next to pollinations-mcp","Merged PR and extension page","https://github.com/zed-industries/extensions","2026-09-18"
"P2","14","toolsdk MCP registry remote entry","new-directory","not_started","PR a JSON entry for the mcp-studio remote per docs/CONTRIBUTING.md (precedent: PR 518 merged 2026-09-15)","Owner","2026-09-25","api/mcp-studio.js","A machine-readable registry that feeds a gateway product","Merged PR URL","https://github.com/toolsdk-ai/toolsdk-mcp-registry","2026-09-18"
"P2","14","Jenqyang Awesome-AI-Agents listing","new-directory","not_started","PR one line under Applications or Tools (precedent: PR 498 merged 2026-09-18)","Owner","2026-09-25","src/element.js","A same-day-merging agent list","Merged PR URL","https://github.com/Jenqyang/Awesome-AI-Agents","2026-09-18"
"P2","14","three.js forum Showcase thread","owned-community","not_started","Owner posts a Forge or agent-3d showcase thread (24 new showcase topics since 2026-09-01; no three.ws thread exists)","Owner","2026-10-02","docs/share-and-embed.md","The canonical three.js builder audience","Live forum thread URL","https://discourse.threejs.org/c/showcase/7","2026-09-18"
"P2","13","LangChain JS tool integration","integration-registry","build_required","Publish a langchain-three-ws package then PR the docs integration (precedent: PR 5632 merged 2026-09-02)","Owner + eng","2026-10-23","packages","Listing in LangChain JS tools beside a same-shape generative-media tool","Published package and merged docs PR","https://github.com/langchain-ai/docs","2026-09-18"
"P2","12","LiveKit Agents avatar plugin","integration-partner","design_decision_required","Decide between a server render lane and a docs ask to list client-rendered avatars","Owner + eng","2026-10-30","src/runtime/livekit-voice.js","An avatar plugin in a 14k-star voice agent framework we already depend on","Recorded decision then merged plugin PR","https://github.com/livekit/agents","2026-09-18"
"P0","19","Web3D 2026 Competitions (AI and HAnim tracks)","new-event","not_started","Enter the AI and Web3D and HAnim animation competitions on easychair.org/conferences/?conf=web3d26 before 2026-09-30 23:00 PDT","Owner","2026-09-30","src/animation-retarget.js","Prize and a conference showcase for browser 3D agents at the Web3D consortium's own event","Submission receipt then results page","https://web3d.siggraph.org/","2026-09-18"
"P0","18","Colosseum Crypto World's Fair","new-event","not_started","Register and confirm in the official rules whether an existing product may enter; submissions due 2026-10-12","Owner","2026-10-12","docs/x402-distribution.md","Solana track prizes and an accelerator interview for x402 agent payments","Submission URL then results","https://colosseum.com/worldsfair","2026-09-18"
"P0","18","Walk Avatar on Chrome Edge and Firefox stores","owned-install-surface","release_checklist_open","Complete extensions/walk-avatar/RELEASE.md, build the zip, submit to Chrome Web Store then Edge Add-ons then Firefox Add-ons","Owner + eng","2026-10-02","extensions/walk-avatar","An installable browser surface that two published articles already described as live","Three live store URLs","https://chrome.google.com/webstore/devconsole","2026-09-18"
"P1","17","AI Engineer Code Summit CFP","new-event","not_started","Submit up to three proposals at sessionize.com/aiecode26 before 2026-10-11 (event 2026-11-10 to 12 San Francisco; speaker travel covered)","Owner","2026-10-11","mcp-server","A stage at the main AI engineering conference for MCP tooling","Acceptance email","https://sessionize.com/aiecode26","2026-09-18"
"P1","17","MCP Market listing","new-directory","not_started","Submit the three.ws repo for the 3D Studio server (free 4-6 weeks or USD 29 in 24 hours)","Owner","2026-09-25","api/mcp-studio.js","A 1M+ monthly-visitor MCP marketplace that lists only our x402 payments server today","Live listing URL","https://mcpmarket.com/submit","2026-09-18"
"P1","17","Three.js Resources submissions","new-directory","not_started","Submit three entries: the MCP server, agent-3d, and a Forge showcase","Owner","2026-09-25","src/element.js","200,000+ monthly 3D developers with MCP and AI categories","Three live resource URLs","https://threejsresources.com/submit","2026-09-18"
"P1","17","Khronos glTF File Format Adopter Program","standards-body","not_started","Submit the free adopter form and email webservices@khronosgroup.org for the supporter logo","Owner","2026-09-30","src/glb-canonicalize.js","glTF trademark license and a place on the public adopter list","Adopter list entry","https://www.khronos.org/conformance/adopters/file-format-adopter-program","2026-09-18"
"P1","17","Claude Partner Network","new-partner","not_started","Apply on the technology or MCP track at claude.com/partners","Owner","2026-10-02","mcp-server","Partner directory placement for a heavy MCP and Claude user","Acceptance and directory URL","https://claude.com/partners","2026-09-18"
"P1","17","solana-foundation pay-skills provider","new-directory","not_started","Scaffold providers/three-ws PAY.md with pay catalog scaffold, validate with pay catalog check, open the PR","Owner + eng","2026-10-02","docs/x402-distribution.md","Agents can discover and pay for three.ws APIs through pay.sh","Merged PR URL","https://github.com/solana-foundation/pay-skills","2026-09-18"
"P1","16","Show HN first launch","owned-launch","not_started","Post Show HN from the short-form kit (hn.algolia.com shows no three.ws post ever)","Owner","2026-10-06","docs/short-form-venue-kit-2026-09.md","First Hacker News exposure; TLDR and other newsletters pick up from HN","Live HN URL and referral visits","https://news.ycombinator.com/showhn.html","2026-09-18"
"P1","16","Helius Startup Launchpad","existing-vendor_new-program","not_started","Apply through the launchpad form as a working pre-Series A product that already runs Helius RPC","Owner","2026-10-02","api/_lib/balances.js","Eight months of the Business plan plus investor introductions","Acceptance email","https://helius.dev/startup-launchpad","2026-09-18"
"P1","16","CoinGecko AI Agents and x402 categories for THREE","existing-listing","not_started","File a token-info update requesting the ai-agents and x402-ecosystem categories for three-ws","Owner","2026-09-25","docs/listings.md","Placement on two high-traffic category pages where THREE is missing","Both category pages list THREE","https://www.coingecko.com/en/categories/ai-agents","2026-09-18"
"P2","15","Solana Foundation regional grant on Superteam Earn","existing-ecosystem_new-route","not_started","Apply on the Superteam Earn grant listing for the owner's legal region","Owner","2026-10-09","docs/x402-distribution.md","USD 1 to 10,000 milestone grant","Grant approval","https://superteam.fun/earn/grants","2026-09-18"
"P2","15","Solana Breakpoint 2026 speaker application","new-event","not_started","Send the speaker application for a 3D agents on x402 talk (event 2026-11-15 to 17 London)","Owner","2026-10-09","docs/x402-distribution.md","A stage at the home-chain flagship event","Acceptance email","https://solana.com/breakpoint","2026-09-18"
"P2","15","Amazon Developer Hackathon Alexa+ MCP track","new-event","not_started","Enter one MCP server before 2026-10-23 12:00 PDT","Owner","2026-10-23","mcp-server","Prize and AWS-partner visibility for an MCP server","Devpost submission","https://amazonappdev2026.devpost.com","2026-09-18"
"P2","14","AI Native DevCon NYC CFP","new-event","not_started","Submit a lessons-learned MCP fleet talk before 2026-10-01 23:59 EDT","Owner","2026-10-01","mcp-server","A talk slot in Brooklyn 2026-11-03 to 04","Acceptance email","https://sessionize.com/ai-native-devcon-nyc-2026","2026-09-18"
